date,payee,expenditure_code,description,amount,committee_name,position
,"KAUFMAN LEGAL GROUP, APC",,"PRO PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",267,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,128,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,119,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,110,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,102,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,100,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,83,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC","PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",,81,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,OFC OFFICE EXPENSES,71,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,70,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,63,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,59,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,OFC OFFICE EXPENSES,59,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,59,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,57,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,OFC OFFICE EXPENSES,55,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,55,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,KAUFMAN LEGAL GROUP,OFFICE EXPENSES,,53,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,51,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,51,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,50,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,50,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,36,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",OFFICE EXPENSES,,15,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,"PRO PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)",0,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
,"KAUFMAN LEGAL GROUP, APC",,OFC OFFICE EXPENSES,0,"MILLION VOTER PROJECT ACTION FUND - YES ON 15, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",support
